Composure,Period,Period_Timeline,Photo_Url,Fun_Fact
George Frideric Handel,Baroque,1685-1759,/assets/george.png,Something fun fact
Johann Sebastian Bach,Baroque,1685-1750,/assets/johann.jpg,Something fun fact
Antonio Vivaldi,Baroque,1678-1741,/assets/vivaldi.jpg,Something fun fact
Jean-Philippe Rameau,Baroque,1683-1764,/assets/rameau.jpg,Something fun fact
Joseph Haydn,Classical,1732-1809,/assets/haydn.png,Something fun fact
Antonio Salieri,Classical,1750-1825,/assets/salieri.jpg,Something fun fact
Johann Christian Bach,Classical,1735-1782,/assets/bach.jpg,Something fun fact
Wolfgang Amadeus Mozart,Classical,1756-1791,/assets/mozart.jpg,Something fun fact
Giuseppe Verdi,Romantic,1813-1901,/assets/verdi.jpg,Something fun fact
Richard Wagner,Romantic,1813-1883,/assets/wagner.png,Something fun fact
Peter Iljitsch Tchaikovsky,Romantic,1840-1893,/assets/peter.jpg,Something fun fact
Frederic Chopin,Romantic,1810-1849,/assets/chopin.jpg,Something fun fact
Igor Stravinsky,Modern,1882-1971,/assets/igor.jpeg,Something fun fact
Arnold Schoenberg,Modern,1874-1951,/assets/arnold.png,Something fun fact
Dmitri Shostakovich,Modern,1906-1975,/assets/dmitri.png,Something fun fact
Bela Bartok,Modern,1881-1945,/assets/bela.jpg,Something fun fact